BRCA1,BRCA2,TP53,ERBB2,ESR1,PGR,MYC,PIK3CA,PTEN,EGFR,AKT1,CCND1,CDH1,RB1,CDKN2A,MDM2,KRAS,BRAF,ATM,CHEK2,MKI67,BCL2,BAX,VEGFA,label
9.615,6.7981,8.5719,10.9073,7.4043,6.8611,11.5091,7.7489,10.2332,9.3294,12.2961,12.3314,11.9647,9.8885,5.5908,9.9586,9.4315,6.6772,9.3905,7.8299,11.314,7.7186,10.383,12.2298,Cancer
7.5785,7.8965,10.1354,15.8848,6.7329,4.2385,7.0949,10.0027,12.0689,11.3976,10.8961,12.4967,14.8537,10.7024,5.8817,12.1332,11.1507,8.7162,10.4116,6.6182,10.7196,6.5194,7.6464,12.1981,Cancer
8.0757,6.1497,10.7409,13.4812,12.2956,11.0029,11.4896,8.7383,11.3067,7.9642,12.1506,12.7609,12.5263,9.9733,7.639,10.4718,10.2657,7.1154,9.8518,7.9883,9.2767,11.1731,9.3621,10.6386,Cancer
7.6273,5.7731,11.7165,13.9334,12.8416,12.666,10.048,8.3913,10.5782,6.598,12.7656,12.2457,12.6518,10.0034,6.9374,10.4963,10.1381,8.0779,9.3859,7.6903,8.9864,7.6104,9.6441,10.6174,Cancer
8.354,7.8885,9.9221,12.9645,14.6751,4.7189,11.0998,9.7447,11.4777,4.2006,12.167,13.1685,13.8084,9.9177,6.002,11.9546,9.8953,7.5221,9.0821,8.0834,12.1361,9.02,9.194,10.56,Cancer
9.0823,8.022,11.0264,12.5698,13.9249,8.3578,10.521,9.3235,11.5842,6.5417,11.8762,13.7666,12.2529,10.8451,8.0496,11.0562,10.4867,7.1652,11.208,7.2607,11.4888,11.4754,9.0723,10.8299,Cancer
10.7227,8.1185,10.9657,13.3987,14.6543,7.5978,11.7622,9.2229,10.9884,8.2465,11.641,11.986,14.3644,8.9133,6.8336,10.9202,9.4834,9.1461,10.4743,7.0218,12.9745,11.0784,8.9974,10.449,Cancer
8.4325,6.9159,11.9512,12.3627,13.8164,11.8226,12.2699,8.2492,10.1511,5.0895,12.1868,14.8437,13.7804,10.3173,9.093,10.1116,9.7584,7.1352,9.2292,7.7445,10.475,12.4553,10.4018,10.7376,Cancer
7.9795,6.8694,10.4389,11.9588,12.9167,11.4055,10.3211,8.2433,10.3795,6.1533,12.4577,12.9514,12.7211,10.5554,7.6014,10.3543,9.9273,7.1477,10.41,7.5339,9.9207,10.1879,9.9936,11.1483,Cancer
8.8219,3.4426,10.5707,13.0382,12.656,10.4754,10.9741,7.7864,10.0986,5.8055,12.5997,14.8997,13.6325,9.8003,6.4116,11.2388,9.4797,6.2338,8.857,7.281,11.4206,10.5679,9.768,11.381,Cancer
9.6544,7.0957,10.4292,11.8076,15.4834,12.1999,12.0222,9.1968,10.2731,3.2852,11.1001,15.0693,12.6669,9.6067,7.7281,10.9201,9.6976,8.2078,9.4122,8.753,11.6171,12.2425,8.9527,11.6332,Cancer
6.7204,4.0843,10.9284,13.4779,10.9624,12.5305,11.4801,8.4372,11.0641,7.602,12.2529,11.6424,13.4856,9.5337,6.677,10.5448,9.1629,6.6965,9.1673,7.6919,7.1308,10.8385,10.1218,10.3705,Cancer
8.1834,7.3897,10.9493,12.666,12.3353,8.6366,8.8351,9.0923,11.8576,5.4589,12.5814,13.3304,13.3953,10.2422,6.6014,11.0606,10.5368,7.6996,8.9456,6.9584,12.032,9.7846,9.8604,11.0082,Cancer
7.7152,7.619,10.9388,12.0804,10.9711,9.2215,9.9265,8.3829,11.3224,6.8888,12.7384,13.6663,13.034,9.8085,7.5415,11.2289,10.1328,5.7982,9.8889,7.1067,10.7702,10.5008,9.2525,9.905,Cancer
8.218,7.8364,12.1108,11.6291,9.7753,5.4497,12.0155,8.6063,10.1185,9.425,11.6475,12.6979,13.189,8.4087,11.0993,10.7317,9.9216,7.6542,9.6113,7.6475,11.1574,8.1641,9.9057,11.8519,Cancer
8.7742,7.6758,11.3498,12.3253,5.8998,3.4529,11.9018,9.1552,8.6313,9.7725,11.7793,12.1606,13.6401,9.3249,11.7943,10.4274,11.1253,7.6582,10.1266,8.7053,11.9477,7.2169,10.3487,12.0708,Cancer
7.5648,6.1028,10.3549,12.7971,11.7867,10.9607,9.901,8.38,11.2823,6.5368,12.3255,13.0308,14.4683,10.5139,8.1496,11.1787,9.8167,6.4399,9.3667,7.0011,9.6241,12.1589,9.6105,10.1303,Cancer
